功能,潛在失效模式,失效影響,失效原因,解決方案,風險評估
提供火箭升空動力,推力不足達 1 km,飛行距離太短，產生安全隱患,重量高於可接受範圍,進行多次實驗與實際測量，確保數值正確,需建立模型來計算理論推力，並與實際測試結果進行對比；確認每個組件的重量，並控制在設計允許範圍內；建立一套標準的質量控制程序，以確保每批次零件的一致性
提供火箭升空動力,燃料燃燒不完全,推力降低或不穩定,燃燒效率不足或燃料質量問題,提高燃料質量控制，進行燃燒效率測試,優化燃燒過程，使用高品質燃料；定期檢查燃料系統
提供火箭升空動力,引擎過熱,火箭損壞或失敗,散熱不足或冷卻系統故障,加強散熱設計，使用高效冷卻系統,定期檢查和維護冷卻系統，進行熱量管理測試
提供火箭升空動力,燃料供應中斷,火箭推力驟降,燃料管路故障或阻塞,定期檢查和維護燃料管路,測試燃料管路的耐久性和可靠性；確保燃料供應順暢
提供火箭升空動力,發動機點火失敗,火箭無法升空,點火系統故障或電路問題,改善點火系統設計，進行多次測試,測試點火系統在不同環境下的可靠性；使用高質量的點火元件
,,,,,
功能,潛在失效模式,失效影響,失效原因,解決方案,風險評估
開啟降落傘，確保安全回收,降落傘未正常開啟,火箭高速落海損壞,觸發機構故障或高度判斷錯誤,加裝計時器簡用觸發機制，進行多次功能測試,測試降落傘在不同環境和高度條件下的性能；檢查和測試觸發機構的耐久性與可靠性；設計備份系統以防主要系統失效
開啟降落傘，確保安全回收,降落傘材料破裂,降落傘功能失效,材料選擇不當或製造缺陷,使用高強度材料，進行品質檢查,測試不同材料的耐用性與可靠性；加強品質控制
開啟降落傘，確保安全回收,降落傘展開過早或過晚,降落不穩定或失敗,高度感測器故障或設計問題,校準高度感測器，進行精確控制,定期測試和校準感測器；改進展開機制的設計
開啟降落傘，確保安全回收,降落傘纏結,降落傘無法正常展開,降落傘摺疊方式不當,改善降落傘摺疊方法，進行多次展開測試,提供標準化摺疊流程；進行定期培訓和檢查
開啟降落傘，確保安全回收,降落傘脫落,降落傘未能固定在火箭上,固定機構故障或設計不當,加強降落傘固定機構的設計和材料,測試固定機構的穩定性和耐用性；定期檢查和維護
,,,,,
功能,潛在失效模式,失效影響,失效原因,解決方案,風險評估
火箭漂浮於海面,火箭未能浮起,火箭無法回收,漂浮裝置設計不足或進水,增加發泡填充材料確保漂浮,模擬火箭落海情況並進行漂浮測試；使用防水材料封閉所有接縫，防止進水；定期檢查漂浮裝置的完整性與密封性
火箭漂浮於海面,漂浮裝置破損,漂浮功能失效,製造缺陷或碰撞損壞,加強裝置結構，進行材料強度測試,使用高強度材料製造；定期檢查和維護漂浮裝置
火箭漂浮於海面,漂浮裝置脫落,火箭無法漂浮,安裝不牢固或設計問題,強化安裝結構，進行設計改良,測試不同安裝方法的穩定性；確保每次安裝的牢固性
火箭漂浮於海面,漂浮裝置進水,漂浮功能失效,密封不良或破損,加強裝置密封設計，使用防水材料,定期檢查和維護密封結構；進行耐水測試
火箭漂浮於海面,漂浮裝置錯位,漂浮不穩定,安裝位置不當或固定不良,重新設計安裝位置，進行固定強化,模擬不同情況下的漂浮行為；優化安裝方式
,,,,,
功能,潛在失效模式,失效影響,失效原因,解決方案,風險評估
記錄飛行過程中數據,數據遺失或記錄不完整,無法進行飛行分析,電源供應異常或設備故障,使用備用電源與雙重存儲系統,測試電源系統的穩定性和持續時間；驗證存儲系統在各種條件下的可靠性；進行定期維護和校準，確保系統的正常運作
記錄飛行過程中數據,訊息無法傳達,數據與位置丟失,接收晶片損壞,建立備份機制與準備備用晶片,測試通信系統在不同距離和干擾條件下的性能；使用高質量、高可靠性的晶片和元件；定期檢查和更新通信設備的固件和軟件
記錄飛行過程中數據,機體振動影響數據準確性,無法獲得可靠數據,機體振動過大,加裝減震裝置，改進設備固定方式,測試不同減震材料的效果；確保設備的固定牢靠性
記錄飛行過程中數據,數據同步錯誤,數據不一致,多個設備之間的同步問題,改善同步機制，使用高精度計時裝置,定期測試和校準同步機制；優化數據傳輸流程
記錄飛行過程中數據,存儲裝置故障,數據無法保存,存儲裝置損壞或老化,使用高品質存儲裝置，進行定期更換,測試存儲裝置的耐用性；進行備份和冗餘設計
,,,,,
功能,潛在失效模式,失效影響,失效原因,解決方案,風險評估
提供飛行穩定性,火箭飛行偏航或失控,目標高度未達成,質心與壓力中心配置不合理,調整尾翼設計，確保質心位置在壓力中心前方,進行風洞實驗以驗證設計的穩定性；模擬不同飛行條件下的質心與壓力中心配置；進行多次實地測試，確保系統的穩定性和可靠性
提供飛行穩定性,操作系統故障,火箭無法穩定控制,控制系統故障,提供多重備份和手動控制系統,定期檢查和測試操作系統；設計備份控制系統
提供飛行穩定性,氣動設計不合理,飛行過程中產生不穩定現象,設計缺陷或分析不充分,重新進行氣動設計和分析,使用流體動力學模擬和實驗室測試；改進設計流程
提供飛行穩定性,機體結構疲勞,機體破裂或損壞,長期使用導致的結構疲勞,使用高強度材料並進行定期檢查,定期更換和維護關鍵結構部件；進行疲勞測試
提供飛行穩定性,控制軟件故障,飛行控制失靈,軟件錯誤或設計缺陷,進行多次測試和校正,定期更新和維護控制軟件；設計備份控制軟件
